"","n","mu_pop","method","powerSS11","powerSS12","powerSSR11","powerSSR12","powerNS11","powerNS12","costSS11","costSS12","costSSR11","costSSR12","costNS11","costNS12","costSS11_Q025","costSS12_Q025","costSSR11_Q025","costSSR12_Q025","costNS11_Q025","costNS12_Q025","costSS11_Q975","costSS12_Q975","costSSR11_Q975","costSSR12_Q975","costNS11_Q975","costNS12_Q975","missSS11","missSS12","missSSR11","missSSR12","missNS11","missNS12"
"991",920,49.7,"KK",0.028,0.376,0.862,0.871,0.901,0.913,4425.24,6626.04,5445.68,6059.32,5594.6,6668.4,4367.04,6569.88,5329.28,5938.72,5594.6,6668.4,4616.5,6817.2,5693.2,6310.9,5594.6,6668.4,0,0,0,0,0,0
"992",920,49.7,"MF",0.256,0.672,0.801,0.818,0.836,0.863,5635.28,8905.52,6926.96,8095.52,6797.2,8343.4,5574.96,8714.4,6806.32,7829.44,6797.2,8343.4,5824.36,8959.2,7170.12,8213.04,6797.2,8343.4,0,0,0,0,0,0
"993",920,49.7,"FP",0,0,0.618,0.631,0.737,0.774,4825.6,8131.5,5142,5422.6,8208.4,10515.2,4640.88,7907.4,4907.56,5300.28,8208.4,10515.2,4873.06,8220.6,5236.92,5674.36,8208.4,10515.2,0,0,0,0,0,0
"994",920,124.7,"KK",0.464,0.786,0.911,0.913,0.916,0.925,4990.12,7143.56,6305.44,7075.36,5729.6,6803.4,4937.74,7099.88,6200.68,6966.82,5729.6,6803.4,5038.62,7324.32,6402.44,7175.86,5729.6,6803.4,0,0,0,0,0,0
"995",920,124.7,"MF",0.595,0.821,0.823,0.854,0.822,0.865,6285.72,9513.04,7822.84,9168.88,6932.2,8478.4,6235.8,9461.8,7723,8925.4,6932.2,8478.4,6333.56,9783.101,7918.52,9272.84,6932.2,8613.4,0,0,0,0,0,0
"996",920,124.7,"FP",0,0,0.685,0.719,0.757,0.791,5227.28,9314.7,5810.36,6483.68,8208.4,10515.2,5161.74,9084,5679.28,6322.44,8208.4,10515.2,5421.0965,9542.1825,6062.993,6763.379,8208.4,10515.2,0,0,0,0,0,0
"997",930,2.8,"KK",0,0,0.562,0.599,0.681,0.739,3195.74,4695.12,3372.28,3520.02,5633.4,6708.6,3160.82,4647.28,3302.44,3447.66,5633.4,6708.6,3228.7685,4738.8,3438.337,3588.4605,5633.4,6708.6,0,0,0,0,0,0
"998",930,2.8,"MF",0,0,0.633,0.647,0.743,0.8,4038.84,6315.2,4388.28,4718.76,6838.8,8253.6,3991,6109.44,4292.6,4479.8,6703.8,8253.6,4219.6,6518.581,4614.8,4818.2,6838.8,8253.6,0,0,0,0,0,0
"999",930,2.8,"FP",0,0,0.047,0.021,0.563,0.566,4286.66,6786.6,4181.04,4193.52,8253.6,10570.8,4273.1,6760.2,4153.807,4160.021,8253.6,10570.8,4304.74,6819.6,4338.64,4356.32,8253.6,10570.8,0,0,0.729,0.729,0,0
"1000",930,12.9499,"KK",0,0,0.733,0.769,0.797,0.847,3838.22,5753.04,4387.24,4696.86,5633.4,6708.6,3648.9,5561.88,4143.6,4449.3,5633.4,6708.6,3892.54,5819.652,4495.88,4809.42,5633.4,6708.6,0,0,0,0,0,0
"1001",930,12.9499,"MF",0.002,0.051,0.751,0.771,0.8,0.822,4926.4,7921.44,5758.4,6442.4,6838.8,8253.6,4866.08,7715.68,5637.76,6176.32,6838.8,8253.6,4990.88,7994.64,5887.36,6582.52,6838.8,8253.6,0,0,0,0,0,0
"1002",930,12.9499,"FP",0,0,0.512,0.532,0.626,0.674,4368.02,7274.4,4474.24,4658.12,8253.6,10570.8,4340.9,7083.3,4420,4456.4,8253.6,10570.8,4399.66,7333.8,4537.52,4735.96,8253.6,10570.8,0,0,0.002,0.002,0,0
